equipe,championnat,points_total,victoires_total,nuls_total,defaites_total,buts_marques_total,buts_marques_dom_total,buts_marques_ext_total,buts_encaisses_total,buts_encaisses_dom_total,buts_encaisses_ext_total,titres,nb_saisons
Bayern Munich,Bundesliga,469,145,34,25,603,339,264,232,100,132,5,6
Dortmund,Bundesliga,397,121,34,49,452,268,184,270,122,148,0,6
Leverkusen,Bundesliga,384,111,51,42,419,229,190,249,120,129,1,6
RB Leipzig,Bundesliga,370,108,46,50,392,223,169,244,103,141,0,6
Ein Frankfurt,Bundesliga,303,78,69,57,352,191,161,315,130,185,0,6
Freiburg,Bundesliga,303,84,51,69,306,186,120,310,139,171,0,6
Stuttgart,Bundesliga,296,81,53,70,355,193,162,312,138,174,0,6
Union Berlin,Bundesliga,281,75,56,73,263,153,110,292,125,167,0,6
Hoffenheim,Bundesliga,264,72,48,84,335,185,150,357,165,192,0,6
Wolfsburg,Bundesliga,261,70,51,83,303,164,139,318,149,169,0,6
Mainz,Bundesliga,258,66,60,78,281,148,133,303,123,180,0,6
M'gladbach,Bundesliga,254,65,59,80,323,178,145,349,140,209,0,6
Augsburg,Bundesliga,233,62,47,95,247,131,116,345,149,196,0,6
Werder Bremen,Bundesliga,192,50,42,78,226,111,115,292,139,153,0,5
FC Koln,Bundesliga,186,44,54,72,212,120,92,286,130,156,0,5
Bochum,Bundesliga,135,35,30,71,153,91,62,265,111,154,0,4
Heidenheim,Bundesliga,97,24,25,53,128,66,62,191,96,95,0,3
Hertha,Bundesliga,97,24,25,53,120,69,51,192,86,106,0,3
Bielefeld,Bundesliga,63,14,21,33,53,28,25,105,46,59,0,2
St Pauli,Bundesliga,58,14,16,38,57,27,30,101,50,51,0,2
Schalke 04,Bundesliga,47,10,17,41,60,37,23,157,70,87,0,2
Hamburg,Bundesliga,38,9,11,14,40,25,15,54,22,32,0,1
Holstein Kiel,Bundesliga,25,6,7,21,49,24,25,80,41,39,0,1
Greuther Furth,Bundesliga,18,3,9,22,28,15,13,82,33,49,0,1
Darmstadt,Bundesliga,17,3,8,23,30,15,15,86,44,42,0,1
Real Madrid,Liga,513,157,42,29,464,259,205,194,86,108,2,6
Barcelona,Liga,507,158,33,37,499,270,229,215,94,121,3,6
Ath Madrid,Liga,455,137,44,47,402,238,164,218,96,122,1,6
Villarreal,Liga,376,106,58,64,390,232,158,283,137,146,0,6
Betis,Liga,363,98,69,61,322,180,142,274,120,154,0,6
Sociedad,Liga,347,95,62,71,295,159,136,256,117,139,0,6
Ath Bilbao,Liga,335,90,65,73,294,176,118,245,104,141,0,6
Sevilla,Liga,321,87,60,81,289,155,134,286,128,158,0,6
Celta,Liga,292,77,61,90,299,164,135,315,146,169,0,6
Osasuna,Liga,283,73,64,91,248,145,103,299,143,156,0,6
Valencia,Liga,277,69,70,89,270,160,110,305,123,182,0,6
Getafe,Liga,255,63,66,99,203,110,93,260,105,155,0,6
Vallecano,Liga,231,57,60,73,195,120,75,240,111,129,0,5
Mallorca,Liga,219,56,51,83,188,110,78,251,95,156,0,5
Girona,Liga,212,58,38,56,226,136,90,216,103,113,0,4
Alaves,Liga,200,50,50,90,185,100,85,272,107,165,0,5
Espanol,Liga,167,41,44,67,175,96,79,228,98,130,0,4
Cadiz,Liga,158,35,53,64,127,71,56,217,96,121,0,4
Elche,Liga,146,34,44,74,153,90,63,231,92,139,0,4
Levante,Liga,118,28,34,52,144,81,63,194,88,106,0,3
Granada,Liga,105,25,30,59,129,71,58,205,86,119,0,3
Valladolid,Liga,87,20,27,67,93,51,42,210,87,123,0,3
Las Palmas,Liga,72,18,18,40,73,41,32,108,49,59,0,2
Almeria,Liga,62,14,20,42,92,51,41,140,58,82,0,2
Leganes,Liga,40,9,13,16,39,23,16,56,27,29,0,1
Huesca,Liga,34,7,13,18,34,17,17,53,21,32,0,1
Eibar,Liga,30,6,12,20,29,12,17,52,21,31,0,1
Oviedo,Liga,29,6,11,21,26,9,17,60,18,42,0,1
Paris SG,Ligue 1,489,151,36,29,512,266,246,201,101,100,5,6
Monaco,Ligue 1,394,117,43,56,402,219,183,277,123,154,0,6
Lille,Ligue 1,385,108,61,47,333,181,152,222,107,115,1,6
Marseille,Ligue 1,378,110,48,58,373,213,160,258,125,133,0,6
Lens,Ligue 1,376,108,52,56,338,185,153,242,112,130,0,6
Lyon,Ligue 1,370,108,46,62,379,211,168,282,135,147,0,6
Rennes,Ligue 1,338,99,41,76,366,208,158,265,108,157,0,6
Nice,Ligue 1,324,89,57,70,293,154,139,256,122,134,0,6
Strasbourg,Ligue 1,294,78,60,78,312,167,145,301,135,166,0,6
Brest,Ligue 1,283,77,52,87,291,168,123,325,146,179,0,6
Nantes,Ligue 1,224,53,65,98,237,128,109,317,150,167,0,6
Reims,Ligue 1,219,53,60,69,205,105,100,233,110,123,0,5
Lorient,Ligue 1,207,52,51,79,228,134,94,301,127,174,0,5
Montpellier,Ligue 1,205,55,40,87,240,127,113,312,154,158,0,5
Toulouse,Ligue 1,178,47,37,56,184,93,91,192,98,94,0,4
Angers,Ligue 1,175,45,40,97,178,99,79,295,139,156,0,5
Metz,Ligue 1,124,29,37,78,146,72,74,251,116,135,0,4
Clermont,Ligue 1,120,31,27,52,109,56,53,178,88,90,0,3
Auxerre,Ligue 1,111,27,30,49,117,60,57,158,62,96,0,3
St Etienne,Ligue 1,108,27,27,56,123,68,55,208,100,108,0,3
Le Havre,Ligue 1,101,24,29,49,106,53,53,160,78,82,0,3
Bordeaux,Ligue 1,76,19,19,38,94,44,50,147,54,93,0,2
Troyes,Ligue 1,62,13,23,40,82,38,44,134,49,85,0,2
Paris FC,Ligue 1,44,11,11,12,47,28,19,50,27,23,0,1
Nimes,Ligue 1,35,9,8,21,40,22,18,71,39,32,0,1
Ajaccio,Ligue 1,26,7,5,26,23,10,13,74,30,44,0,1
Dijon,Ligue 1,21,4,9,25,25,8,17,73,31,42,0,1
Man City,Premier League,508,156,40,32,521,300,221,204,102,102,4,6
Arsenal,Premier League,462,140,42,46,435,236,199,220,107,113,1,6
Liverpool,Premier League,454,133,55,40,472,249,223,250,99,151,1,6
Man United,Premier League,380,109,53,66,358,199,159,306,140,166,0,6
Chelsea,Premier League,369,103,60,65,371,193,178,274,128,146,0,6
Aston Villa,Premier League,360,105,45,78,348,205,143,307,147,160,0,6
Newcastle,Premier League,340,96,52,80,364,213,151,321,146,175,0,6
Tottenham,Premier League,338,99,41,88,393,205,188,331,157,174,0,6
Brighton,Premier League,316,81,73,74,327,168,159,310,139,171,0,6
West Ham,Premier League,295,81,52,95,316,172,144,354,164,190,0,6
Crystal Palace,Premier League,284,71,71,86,280,148,132,321,147,174,0,6
Everton,Premier League,279,73,60,95,253,141,112,316,148,168,0,6
Brentford,Premier League,253,68,49,73,283,159,124,276,129,147,0,5
Wolves,Premier League,245,66,47,115,236,132,104,355,166,189,0,6
Fulham,Premier League,233,63,44,83,238,128,110,272,131,141,0,5
Bournemouth,Premier League,200,52,44,56,207,99,108,238,92,146,0,4
Nott'm Forest,Premier League,183,48,39,65,193,100,93,232,93,139,0,4
Leicester,Premier League,177,49,30,73,214,106,108,257,114,143,0,4
Leeds,Premier League,175,45,40,67,201,102,99,267,117,150,0,4
Burnley,Premier League,120,26,42,84,146,69,77,261,124,137,0,4
Southampton,Premier League,120,29,33,90,152,83,69,294,133,161,0,4
Sunderland,Premier League,54,14,12,12,42,25,17,48,20,28,0,1
Sheffield United,Premier League,39,10,9,57,55,31,24,167,84,83,0,2
Luton,Premier League,26,6,8,24,52,28,24,85,37,48,0,1
West Brom,Premier League,26,5,11,22,35,15,20,76,39,37,0,1
Watford,Premier League,23,6,5,27,34,17,17,77,46,31,0,1
Ipswich,Premier League,22,4,10,24,36,14,22,82,44,38,0,1
Norwich,Premier League,22,5,7,26,23,12,11,84,43,41,0,1
Inter,Serie A,509,156,41,31,501,272,229,201,96,105,3,6
Napoli,Serie A,457,136,49,43,409,216,193,211,109,102,2,6
Milan,Serie A,443,130,53,45,397,193,204,242,110,132,1,6
Juventus,Serie A,430,121,67,40,363,195,168,208,89,119,0,6
Atalanta,Serie A,403,116,55,57,422,221,201,258,134,124,0,6
Roma,Serie A,394,115,49,64,357,204,153,248,93,155,0,6
Lazio,Serie A,386,111,53,64,349,193,156,271,131,140,0,6
Bologna,Serie A,327,86,69,73,308,167,141,294,124,170,0,6
Fiorentina,Serie A,325,88,61,79,321,183,138,290,128,162,0,6
Torino,Serie A,282,69,75,84,257,131,126,295,132,163,0,6
Udinese,Serie A,264,64,72,92,273,136,137,321,145,176,0,6
Sassuolo,Serie A,236,63,47,80,264,130,134,308,140,168,0,5
Verona,Serie A,223,53,64,111,236,124,112,344,170,174,0,6
Genoa,Serie A,203,46,65,79,197,113,84,263,128,135,0,5
Cagliari,Serie A,182,43,53,94,199,116,83,304,148,156,0,5
Empoli,Serie A,151,35,46,71,149,75,74,232,116,116,0,4
Lecce,Serie A,146,34,44,74,120,61,59,208,106,102,0,4
Como,Serie A,120,33,21,22,114,63,51,81,41,40,0,2
Monza,Serie A,115,28,31,55,115,61,54,172,79,93,0,3
Sampdoria,Serie A,107,28,23,63,122,73,49,188,86,102,0,3
Spezia,Serie A,106,25,31,58,124,67,57,205,93,112,0,3
Parma,Serie A,101,21,38,55,111,57,54,187,92,95,0,3
Salernitana,Serie A,90,18,36,60,113,64,49,221,103,118,0,3
Cremonese,Serie A,61,13,22,41,68,33,35,126,60,66,0,2
Venezia,Serie A,56,11,23,42,66,38,28,125,60,65,0,2
Frosinone,Serie A,35,8,11,19,44,28,16,69,32,37,0,1
Benevento,Serie A,33,7,12,19,40,19,21,75,39,36,0,1
Crotone,Serie A,23,6,5,27,45,23,22,92,35,57,0,1
Pisa,Serie A,18,2,12,24,26,9,17,71,26,45,0,1
